time,open,high,low,close,tick_volume,spread,real_volume
2025-02-10 14:15:00,151.745,151.804,151.691,151.767,1156,9,0
2025-02-10 14:30:00,151.769,151.789,151.634,151.694,1400,9,0
2025-02-10 14:45:00,151.694,151.697,151.585,151.631,1084,9,0
2025-02-10 15:00:00,151.63,151.651,151.564,151.613,949,9,0
2025-02-10 15:15:00,151.611,151.694,151.609,151.631,1132,9,0
2025-02-10 15:30:00,151.629,151.69,151.569,151.619,897,9,0
2025-02-10 15:45:00,151.619,151.683,151.592,151.606,1021,9,0
2025-02-10 16:00:00,151.605,151.684,151.568,151.684,920,9,0
2025-02-10 16:15:00,151.683,151.73,151.648,151.66,819,9,0
2025-02-10 16:30:00,151.66,151.758,151.638,151.748,666,9,0
2025-02-10 16:45:00,151.748,151.787,151.713,151.72,701,9,0
2025-02-10 17:00:00,151.718,151.778,151.703,151.775,637,9,0
2025-02-10 17:15:00,151.774,151.795,151.736,151.763,639,9,0
2025-02-10 17:30:00,151.765,151.864,151.762,151.864,539,9,0
2025-02-10 17:45:00,151.866,151.917,151.843,151.86,530,9,0
2025-02-10 18:00:00,151.861,151.954,151.854,151.914,523,9,0
2025-02-10 18:15:00,151.914,151.963,151.895,151.949,409,9,0
2025-02-10 18:30:00,151.947,151.998,151.927,151.991,491,9,0
2025-02-10 18:45:00,151.989,152.068,151.983,152.03,597,9,0
2025-02-10 19:00:00,152.029,152.046,152.003,152.026,475,9,0
2025-02-10 19:15:00,152.026,152.051,152.012,152.049,383,9,0
2025-02-10 19:30:00,152.048,152.062,151.957,151.959,404,9,0
2025-02-10 19:45:00,151.958,151.993,151.947,151.972,523,9,0
2025-02-10 20:00:00,151.974,152.018,151.964,152.001,385,9,0
2025-02-10 20:15:00,152.0,152.032,151.993,152.019,381,9,0
2025-02-10 20:30:00,152.019,152.026,151.997,152.0,353,9,0
2025-02-10 20:45:00,152.0,152.027,151.944,151.944,428,9,0
2025-02-10 21:00:00,151.943,151.96,151.904,151.942,226,9,0
2025-02-10 21:15:00,151.942,151.984,151.928,151.969,189,9,0
2025-02-10 21:30:00,151.97,151.984,151.958,151.975,207,9,0
2025-02-10 21:45:00,151.972,152.007,151.964,151.974,175,9,0
2025-02-10 22:00:00,151.955,151.986,151.787,151.894,105,38,0
2025-02-10 22:15:00,151.93,151.957,151.818,151.927,185,38,0
2025-02-10 22:30:00,151.937,151.949,151.868,151.899,276,38,0
2025-02-10 22:45:00,151.896,151.914,151.832,151.852,244,38,0
2025-02-10 23:00:00,151.878,151.955,151.878,151.94,404,9,0
2025-02-10 23:15:00,151.935,151.95,151.834,151.849,355,9,0
2025-02-10 23:30:00,151.853,151.89,151.803,151.805,322,9,0
2025-02-10 23:45:00,151.805,151.832,151.74,151.781,419,9,0
2025-02-11 00:00:00,151.788,151.798,151.68,151.719,665,9,0
2025-02-11 00:15:00,151.719,151.883,151.718,151.83,642,9,0
2025-02-11 00:30:00,151.828,151.861,151.777,151.777,541,9,0
2025-02-11 00:45:00,151.776,151.839,151.74,151.801,903,9,0
2025-02-11 01:00:00,151.801,151.895,151.79,151.879,861,9,0
2025-02-11 01:15:00,151.876,152.062,151.874,152.0,993,9,0
2025-02-11 01:30:00,152.002,152.016,151.928,151.934,771,9,0
2025-02-11 01:45:00,151.934,152.02,151.932,152.016,481,9,0
2025-02-11 02:00:00,152.016,152.028,151.957,152.017,465,9,0
2025-02-11 02:15:00,152.017,152.037,151.933,151.968,603,9,0
2025-02-11 02:30:00,151.964,151.987,151.926,151.975,523,9,0
2025-02-11 02:45:00,151.974,151.999,151.918,151.969,654,9,0
2025-02-11 03:00:00,151.967,152.006,151.912,151.968,626,9,0
2025-02-11 03:15:00,151.968,152.046,151.966,152.019,539,9,0
2025-02-11 03:30:00,152.021,152.029,151.951,151.967,549,9,0
2025-02-11 03:45:00,151.967,152.008,151.953,151.978,399,9,0
2025-02-11 04:00:00,151.978,152.038,151.977,151.999,388,9,0
2025-02-11 04:15:00,151.999,152.022,151.979,152.006,366,9,0
2025-02-11 04:30:00,152.009,152.024,151.994,152.008,304,9,0
2025-02-11 04:45:00,152.008,152.013,151.981,151.985,201,9,0
2025-02-11 05:00:00,151.984,152.0,151.969,151.995,219,9,0
2025-02-11 05:15:00,151.995,151.996,151.952,151.968,249,9,0
2025-02-11 05:30:00,151.968,151.977,151.954,151.955,185,9,0
2025-02-11 05:45:00,151.957,151.972,151.937,151.95,249,9,0
2025-02-11 06:00:00,151.952,151.957,151.829,151.919,544,9,0
2025-02-11 06:15:00,151.919,151.976,151.91,151.965,520,9,0
2025-02-11 06:30:00,151.965,151.987,151.92,151.938,470,9,0
2025-02-11 06:45:00,151.939,151.942,151.893,151.912,499,9,0
2025-02-11 07:00:00,151.91,151.994,151.898,151.931,719,9,0
2025-02-11 07:15:00,151.932,151.953,151.868,151.889,570,9,0
2025-02-11 07:30:00,151.889,151.968,151.885,151.949,658,9,0
2025-02-11 07:45:00,151.949,152.044,151.923,151.947,830,9,0
2025-02-11 08:00:00,151.95,152.097,151.907,152.028,1228,9,0
2025-02-11 08:15:00,152.025,152.034,151.787,151.807,1199,9,0
2025-02-11 08:30:00,151.808,151.837,151.645,151.816,1539,9,0
2025-02-11 08:45:00,151.816,151.895,151.791,151.867,970,9,0
2025-02-11 09:00:00,151.866,151.938,151.823,151.931,1045,9,0
2025-02-11 09:15:00,151.935,151.997,151.911,151.956,834,9,0
2025-02-11 09:30:00,151.955,151.974,151.925,151.949,662,9,0
2025-02-11 09:45:00,151.949,151.974,151.934,151.942,613,9,0
2025-02-11 10:00:00,151.94,152.048,151.938,152.037,695,9,0
2025-02-11 10:15:00,152.034,152.093,152.006,152.09,612,9,0
2025-02-11 10:30:00,152.09,152.139,152.065,152.091,635,9,0
2025-02-11 10:45:00,152.093,152.146,152.071,152.128,603,9,0
2025-02-11 11:00:00,152.127,152.202,152.116,152.179,584,9,0
2025-02-11 11:15:00,152.179,152.266,152.179,152.263,510,9,0
2025-02-11 11:30:00,152.263,152.31,152.231,152.275,685,9,0
2025-02-11 11:45:00,152.274,152.374,152.264,152.334,750,9,0
2025-02-11 12:00:00,152.337,152.353,152.228,152.254,891,9,0
2025-02-11 12:15:00,152.254,152.328,152.217,152.31,797,9,0
2025-02-11 12:30:00,152.309,152.337,152.244,152.266,641,9,0
2025-02-11 12:45:00,152.267,152.411,152.258,152.376,819,9,0
2025-02-11 13:00:00,152.372,152.403,152.313,152.356,761,9,0
2025-02-11 13:15:00,152.354,152.446,152.344,152.35,959,9,0
2025-02-11 13:30:00,152.347,152.465,152.344,152.455,830,9,0
2025-02-11 13:45:00,152.455,152.504,152.3,152.3,929,9,0
2025-02-11 14:00:00,152.301,152.344,152.245,152.325,1085,9,0
2025-02-11 14:15:00,152.325,152.46,152.303,152.372,903,9,0
2025-02-11 14:30:00,152.372,152.43,152.282,152.286,1301,9,0
2025-02-11 14:45:00,152.288,152.34,152.226,152.291,1138,9,0
2025-02-11 15:00:00,152.295,152.403,152.232,152.352,1667,9,0
2025-02-11 15:15:00,152.355,152.59,152.355,152.509,2205,9,0
2025-02-11 15:30:00,152.507,152.592,152.482,152.528,1477,9,0
2025-02-11 15:45:00,152.531,152.554,152.445,152.489,1339,9,0
2025-02-11 16:00:00,152.488,152.531,152.319,152.327,1148,9,0
2025-02-11 16:15:00,152.329,152.355,152.246,152.262,1184,9,0
2025-02-11 16:30:00,152.26,152.32,152.258,152.294,896,9,0
2025-02-11 16:45:00,152.297,152.376,152.258,152.364,844,9,0
2025-02-11 17:00:00,152.364,152.403,152.326,152.339,706,9,0
2025-02-11 17:15:00,152.34,152.38,152.311,152.339,505,9,0
2025-02-11 17:30:00,152.34,152.384,152.307,152.31,484,9,0
2025-02-11 17:45:00,152.31,152.387,152.288,152.365,572,9,0
2025-02-11 18:00:00,152.364,152.391,152.288,152.391,771,9,0
2025-02-11 18:15:00,152.388,152.452,152.376,152.452,518,9,0
2025-02-11 18:30:00,152.45,152.457,152.422,152.446,483,9,0
2025-02-11 18:45:00,152.443,152.476,152.418,152.43,446,9,0
2025-02-11 19:00:00,152.431,152.484,152.415,152.473,446,9,0
2025-02-11 19:15:00,152.471,152.519,152.466,152.501,422,9,0
2025-02-11 19:30:00,152.501,152.553,152.288,152.417,1460,9,0
2025-02-11 19:45:00,152.417,152.515,152.4,152.485,806,9,0
2025-02-11 20:00:00,152.487,152.493,152.445,152.488,620,9,0
2025-02-11 20:15:00,152.486,152.569,152.463,152.522,601,9,0
2025-02-11 20:30:00,152.524,152.604,152.506,152.565,619,9,0
2025-02-11 20:45:00,152.565,152.575,152.504,152.552,578,9,0
2025-02-11 21:00:00,152.546,152.55,152.449,152.472,314,9,0
2025-02-11 21:15:00,152.472,152.476,152.411,152.419,256,9,0
2025-02-11 21:30:00,152.424,152.455,152.417,152.448,225,9,0
2025-02-11 21:45:00,152.446,152.498,152.446,152.473,318,9,0
2025-02-11 22:00:00,152.44,152.461,152.264,152.379,151,38,0
2025-02-11 22:15:00,152.374,152.443,152.243,152.406,284,38,0
2025-02-11 22:30:00,152.411,152.459,152.363,152.434,228,38,0
2025-02-11 22:45:00,152.434,152.451,152.386,152.439,281,38,0
2025-02-11 23:00:00,152.446,152.58,152.436,152.498,362,9,0
2025-02-11 23:15:00,152.499,152.702,152.482,152.695,405,9,0
2025-02-11 23:30:00,152.696,152.75,152.671,152.75,421,9,0
2025-02-11 23:45:00,152.745,152.754,152.655,152.753,494,9,0
2025-02-12 00:00:00,152.754,152.944,152.723,152.889,1286,9,0
2025-02-12 00:15:00,152.888,152.942,152.858,152.907,903,9,0
2025-02-12 00:30:00,152.907,153.097,152.906,153.063,1129,9,0
2025-02-12 00:45:00,153.065,153.225,153.065,153.185,1533,9,0
2025-02-12 01:00:00,153.185,153.325,153.07,153.302,1312,9,0
2025-02-12 01:15:00,153.304,153.417,153.287,153.39,1317,9,0
2025-02-12 01:30:00,153.39,153.459,153.344,153.423,1004,9,0
2025-02-12 01:45:00,153.421,153.484,153.333,153.466,881,9,0
2025-02-12 02:00:00,153.469,153.477,153.365,153.411,850,9,0
2025-02-12 02:15:00,153.411,153.477,153.379,153.379,662,9,0
2025-02-12 02:30:00,153.38,153.525,153.357,153.397,960,9,0
2025-02-12 02:45:00,153.396,153.526,153.378,153.458,881,9,0
2025-02-12 03:00:00,153.458,153.639,153.453,153.6,983,9,0
2025-02-12 03:15:00,153.6,153.645,153.523,153.56,779,9,0
2025-02-12 03:30:00,153.562,153.617,153.522,153.602,843,9,0
